"행정구역","2025년01월_총인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율"
"전국  (1000000000)","51,207,874","24,124,988","          2.12","25,492,996","25,714,878","          0.99"
"서울특별시  (1100000000)","9,330,658","4,482,949","          2.08","4,504,432","4,826,226","          0.93"
"부산광역시  (2600000000)","3,263,891","1,569,695","          2.08","1,588,357","1,675,534","          0.95"
"대구광역시  (2700000000)","2,363,281","1,104,490","          2.14","1,159,235","1,204,046","          0.96"
"인천광역시  (2800000000)","3,023,649","1,375,788","          2.20","1,510,615","1,513,034","          1.00"
"광주광역시  (2900000000)","1,407,097","657,716","          2.14","694,532","712,565","          0.97"
"대전광역시  (3000000000)","1,438,974","687,941","          2.09","717,162","721,812","          0.99"
"울산광역시  (3100000000)","1,097,821","495,677","          2.21","564,893","532,928","          1.06"
"세종특별자치시  (3600000000)","390,910","163,404","          2.39","194,470","196,440","          0.99"
"경기도  (4100000000)","13,699,647","6,062,570","          2.26","6,884,215","6,815,432","          1.01"
"강원특별자치도  (5100000000)","1,515,822","764,301","          1.98","762,039","753,783","          1.01"
"충청북도  (4300000000)","1,590,666","787,774","          2.02","809,763","780,903","          1.04"
"충청남도  (4400000000)","2,135,815","1,052,547","          2.03","1,095,933","1,039,882","          1.05"
"전북특별자치도  (5200000000)","1,737,351","864,338","          2.01","865,346","872,005","          0.99"
"전라남도  (4600000000)","1,787,592","912,344","          1.96","901,816","885,776","          1.02"
"경상북도  (4700000000)","2,528,641","1,291,165","          1.96","1,279,180","1,249,461","          1.02"
"경상남도  (4800000000)","3,226,599","1,537,606","          2.10","1,626,214","1,600,385","          1.02"
"제주특별자치도  (5000000000)","669,460","314,683","          2.13","334,794","334,666","          1.00"
